date,calories_burned,steps,distance,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity_calories,sleep_start_hour,sleep_end_hour,minutes_asleep,minutes_awake,number_of_awakenings,time_in_bed,day_of_week
2018-01-21,3537,34121,17.22,573,190,12,188,2528,9,7,555,35,2,590,Sunday
2018-01-22,1883,8043,3.35,722,134,20,26,674,10,7,465,44,2,510,Monday
2018-01-23,1955,9693,4.04,690,109,33,46,752,9,6,515,43,3,558,Tuesday
2018-01-24,1849,7167,2.99,731,162,8,8,634,10,6,503,21,2,524,Wednesday
2018-01-25,2186,13523,5.7,701,157,30,62,1045,10,7,498,17,1,518,Thursday
2018-01-26,2089,12154,5.08,662,139,29,47,915,9,6,506,14,0,520,Friday
2018-01-27,2911,24672,11.81,709,193,20,125,1850,1,8,372,20,1,392,Saturday
2018-01-28,1742,4965,2.07,621,140,4,21,528,9,6,518,28,4,554,Sunday
2018-01-29,1966,9576,3.99,743,150,23,28,777,10,7,492,18,1,512,Monday
2018-01-30,1828,7123,2.97,731,144,7,16,612,9,7,536,9,0,545,Tuesday
2018-01-31,2372,16217,7.47,639,158,24,70,1231,9,6,471,24,0,495,Wednesday
2018-02-01,2222,13463,5.61,693,217,38,49,1124,10,7,485,17,1,502,Thursday
2018-02-02,1949,8745,3.65,675,184,12,14,764,9,6,483,16,0,500,Friday
2018-02-03,2838,21990,10.88,536,244,8,105,1796,9,8,632,30,6,662,Saturday
2018-02-04,1574,2359,0.98,760,104,9,0,311,10,7,509,24,1,536,Sunday
2018-02-05,2058,11434,4.8,638,139,34,47,889,9,7,543,19,2,562,Monday
2018-02-06,2308,15347,7.18,650,124,21,73,1139,9,7,531,43,1,577,Tuesday
2018-02-07,1941,8816,3.69,649,159,21,29,759,9,7,544,15,1,568,Wednesday
2018-02-08,2183,13639,5.84,734,142,23,64,1020,11,7,475,17,1,496,Thursday
2018-02-09,2125,12389,5.17,637,185,27,42,993,10,6,489,33,3,522,Friday
2018-02-10,2656,20230,9.97,676,170,10,91,1540,10,7,527,23,1,550,Saturday
2018-02-11,1870,5322,2.22,545,276,0,0,751,9,7,547,23,1,570,Sunday
2018-02-12,2020,10398,4.37,658,160,37,27,852,9,7,557,19,2,576,Monday
2018-02-13,1877,7697,3.24,736,153,13,20,677,10,7,500,10,1,510,Tuesday
2018-02-14,2215,13258,6.28,672,155,9,52,1041,9,7,542,12,1,554,Wednesday
2018-02-15,2008,10325,4.3,716,138,21,51,827,10,7,499,24,2,523,Thursday
2018-02-16,1924,9039,3.78,725,155,26,17,735,10,8,530,33,2,564,Friday
2018-02-17,1969,8704,3.63,568,200,9,31,828,9,7,543,43,4,586,Saturday
2018-02-18,2198,14121,5.89,679,120,16,94,1038,10,9,591,39,3,630,Sunday
2018-02-19,1976,10612,4.42,630,67,23,72,755,10,6,483,23,3,512,Monday
2018-02-20,1990,9643,4.02,667,170,30,20,823,9,6,498,57,3,555,Tuesday
2018-02-21,2353,15894,7.42,693,160,21,61,1204,10,7,518,20,1,546,Wednesday
2018-02-22,1915,8900,3.71,689,138,11,24,697,9,6,483,27,3,512,Thursday
2018-02-23,1873,8271,3.45,752,105,28,36,661,9,6,511,30,1,541,Friday
2018-02-24,2896,24429,11.71,594,206,19,116,1847,10,8,555,39,1,594,Saturday
2018-02-25,2014,9352,3.94,556,218,18,24,890,9,6,495,18,1,513,Sunday
2018-02-26,1889,8419,3.51,812,147,10,16,672,10,6,437,33,3,475,Monday
2018-02-27,1980,9080,3.79,707,183,28,25,821,10,7,488,40,1,528,Tuesday
2018-02-28,1771,5530,2.31,788,179,0,0,562,11,5,360,39,2,399,Wednesday
